 id,prompt,answer,family,rule_name,source,cot,has_cot
00066667,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01010001 -> 11011101
00001001 -> 01101101
00010101 -> 01010101
11111111 -> 10000001
10011101 -> 01000101
00111011 -> 00001001
10111101 -> 00000101
00100110 -> 10110011

Now, determine the output for: 00110100",10010111,bit_manipulation,official_train,official_train,"",false
000b53cf,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10001110 -> 00100110
10011001 -> 01000100
01100100 -> 00010001
10000010 -> 00001010
00011011 -> 01001100
00111010 -> 10011100
01101111 -> 00110111
10010110 -> 01011010
00001010 -> 00101100

Now, determine the output for: 11100000",01000011,bit_manipulation,official_train,official_train,"",false
00189f6a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ucoov pwgtfyoqg vorq yrjjoe -> queen discovers near valley
pqrsfv pqorzg wvgwpo trgbjo -> dragon dreams inside castle
gbcpovb tqorbog bxo zrswtrj pffq -> student creates the magical door
bxo sfjpov pqrsfv dfjjfig -> the golden dragon follows
nqwvtogg qorpg bxo zegboqwfcg gotqob -> princess reads the mysterious secret
Now, decrypt the following text: trb wzrswvog hffk",cat imagines book,text_decryption,official_train,official_train,"",false
001b24c4,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
11 -> XI
15 -> XV
94 -> XCIV
19 -> XIX
Now, write the number 38 in the Wonderland numeral system.",XXXVIII,numeral_system,official_train,official_train,"The examples are Roman numerals (I=1, V=5, X=10, L=50, C=100, D=500, M=1000), with subtractive pairs like IV=4 and IX=9. Convert 38 greedily: 10->X, 10->X, 10->X, 5->V, 1->I, 1->I, 1->I, concatenating to XXXVIII.",true
001c63cb,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wkgqa lsrqaq wneeke -> mouse chases mirror
wkgqa nwrjnvaq nv brmrla -> mouse imagines in palace
srppae oerhq gvoae wkgvprnv -> hatter draws under mountain
psa qaleap hncreo onqlkzaeq -> the secret wizard discovers
psa hnqa xneo earoq -> the wise bird reads
Now, decrypt the following text: hncreo learpaq qaleap",wizard creates secret,text_decryption,official_train,official_train,This is a letter-substitution cipher. Recover each ciphertext letter from the examples: 'h' decrypts to 'w' (seen in 'srppae oerhq gvoae wkgvprnv' -> 'hatter draws under mountain'). 'n' decrypts to 'i' (seen in 'wkgqa lsrqaq wneeke' -> 'mouse chases mirror'). 'c' decrypts to 'z' (seen in 'psa qaleap hncreo onqlkzaeq' -> 'the secret wizard discovers'). 'r' decrypts to 'a' (seen in 'wkgqa lsrqaq wneeke' -> 'mouse chases mirror'). 'e' decrypts to 'r' (seen in 'wkgqa lsrqaq wneeke' -> 'mouse chases mirror'). 'o' decrypts to 'd' (seen in 'srppae oerhq gvoae wkgvprnv' -> 'hatter draws under mountain'). 'l' decrypts to 'c' (seen in 'wkgqa lsrqaq wneeke' -> 'mouse chases mirror'). 'a' decrypts to 'e' (seen in 'wkgqa lsrqaq wneeke' -> 'mouse chases mirror'). 'p' decrypts to 't' (seen in 'srppae oerhq gvoae wkgvprnv' -> 'hatter draws under mountain'). 'q' decrypts to 's' (seen in 'wkgqa lsrqaq wneeke' -> 'mouse chases mirror'). Decrypting 'hncreo learpaq qaleap' letter by letter gives 'wizard creates secret'.,true
00208201,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
10.08 m becomes 6.69
17.83 m becomes 11.83
35.85 m becomes 23.79
17.06 m becomes 11.32
31.54 m becomes 20.93
Now, convert the following measurement: 25.09 m",16.65,unit_conversion,official_train,official_train,Each measurement is multiplied by a fixed factor. From '10.08 m becomes 6.69': factor = 6.69/10.08 = 0.664. Apply to 25.09 m: 25.09*0.664 = 16.66.,true
0031df9c,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00000000 -> 00000000
11001011 -> 11110010
11110010 -> 10111100
01001000 -> 00010010
01101000 -> 00011010
01011101 -> 01010111
10111001 -> 01101110
11011111 -> 11110111
11110101 -> 01111101
01111001 -> 01011110

Now, determine the output for: 11010000",00110100,bit_manipulation,official_train,official_train,"A constant XOR does not fit (input XOR output is not the same across examples), so try rotating the input left before XOR-ing a fixed mask. Rotate the first input left by 6: 00000000 -> 00000000. Then 00000000 XOR 00000000 = 00000000, giving mask 00000000. Verify: rotate 11001011 left by 6 -> 11110010, then XOR 00000000 = 11110010, matching 11110010. The rule is: rotate left by 6, then XOR 00000000. Apply to the query: rotate 11010000 left by 6 -> 00110100, then XOR 00000000 = 00110100.",true
0040ff76,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.37s, distance = 14.92 m
For t = 4.27s, distance = 144.96 m
For t = 3.28s, distance = 85.54 m
For t = 3.67s, distance = 107.09 m
For t = 1.78s, distance = 25.19 m
Now, determine the falling distance for t = 4.41s given d = 0.5*g*t^2.",154.62,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=1.37s, d=14.92 m: g = 2*14.92/1.37^2 = 15.90. Apply to t=4.41s: d = 0.5*15.90*4.41^2 = 154.61.",true
00457d26,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`!*[{ = '""[`
\'*'> = ![@
\'-!` = \\
`!*\& = '@'{
Now, determine the result for: [[-!'",@&,equation_symbol_transformation,official_train,official_train,"",false
00463d04,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.85s, distance = 204.55 m
For t = 3.13s, distance = 85.19 m
For t = 1.7s, distance = 25.13 m
For t = 3.16s, distance = 86.84 m
For t = 3.23s, distance = 90.73 m
Now, determine the falling distance for t = 2.41s given d = 0.5*g*t^2.",50.51,gravity_formula,official_train,official_train,"The rule is d = 0.5*g*t^2 with a hidden g. From the example t=4.85s, d=204.55 m: g = 2*204.55/4.85^2 = 17.39. Apply to t=2.41s: d = 0.5*17.39*2.41^2 = 50.50.",true
