 id,prompt,answer,family,rule_name,source
synthetic_v2_bit_000000,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110101 -> 10100101
00001001 -> 11011001
11100110 -> 00110110
00101001 -> 11111001
10100111 -> 01110111
01001111 -> 10011111

Now, determine the output for: 11000110",00010110,bit_manipulation,not_xor_2f,synthetic_v2
synthetic_v2_equ_000000,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
*#% = <_|
%<!+ = |-\@
-~)|/ = ""$*[`
%^+ = |'@
::~&(& = !!$;~;
$|'( = )[+~
Now, determine the result for: (|%~",~[|$,equation_symbol_transformation,symbol_substitution,synthetic_v2
synthetic_v2_gra_000000,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.7s, distance = 239.12 m
For t = 1.9s, distance = 39.08 m
For t = 1.02s, distance = 11.26 m
For t = 4.66s, distance = 235.07 m
Now, determine the falling distance for t = 1.43s given d = 0.5*g*t^2.",22.14,gravity_formula,gravity_constant,synthetic_v2
synthetic_v2_num_000000,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
313 -> CCCXIII
71 -> LXXI
369 -> CCCLXIX
256 -> CCLVI
255 -> CCLV
182 -> CLXXXII
Now, write the number 40 in the Wonderland numeral system.",XL,numeral_system,roman_numeral,synthetic_v2
synthetic_v2_tex_000000,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
vjl hzrvlobwsr rvsxluv walur -> the mysterious student opens
rvsxluv ewmmwcr twwf -> student follows book
gsllu rllr obplo -> queen sees river
rvsxluv olyxr iyrvml -> student reads castle
iyv cobvlr twwf -> cat writes book
Now, decrypt the following text: rvsxluv ewmmwcr obplo",student follows river,text_decryption,monoalphabetic_substitution,synthetic_v2
synthetic_v2_uni_000000,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
11.97 m becomes 15.72
58.37 m becomes 76.64
5.75 m becomes 7.55
9.27 m becomes 12.17
66.22 m becomes 86.95
66.19 m becomes 86.91
Now, convert the following measurement: 63.4 m",83.24,unit_conversion,linear_scale,synthetic_v2
synthetic_v2_bit_000001,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00100111 -> 00110010
01001101 -> 00110010
01100101 -> 00110010
10100000 -> 00110010
10100111 -> 00110010
00000011 -> 00110010
11010001 -> 00110010
11011001 -> 00110010

Now, determine the output for: 10100101",00110010,bit_manipulation,mask_mix_03_5b_69,synthetic_v2
synthetic_v2_equ_000001,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
!&*- = :-#`
][_(< = )<|!~
(--:-* = !``]`#
@?_)/( = _@|([!
-:' = `]$
|`: = ?\]
Now, determine the result for: -[`&_",`<\-|,equation_symbol_transformation,symbol_substitution,synthetic_v2
synthetic_v2_gra_000001,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 2.7s, distance = 38.16 m
For t = 2.2s, distance = 25.34 m
For t = 0.77s, distance = 3.10 m
For t = 4.7s, distance = 115.64 m
For t = 4.78s, distance = 119.61 m
Now, determine the falling distance for t = 1.25s given d = 0.5*g*t^2.",8.18,gravity_formula,gravity_constant,synthetic_v2
synthetic_v2_num_000001,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
291 -> CCXCI
155 -> CLV
166 -> CLXVI
199 -> CXCIX
84 -> LXXXIV
221 -> CCXXI
Now, write the number 91 in the Wonderland numeral system.",XCI,numeral_system,roman_numeral,synthetic_v2
synthetic_v2_tex_000001,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ivq lfkq vniiqe yenlk -> the wise hatter draws
ivq mzoyqd tjqqd fsnmfdqk -> the golden queen imagines
vniiqe yenlk kqreqi -> hatter draws secret
ivq lfkq gfey bzoozlk -> the wise bird follows
rni eqnyk kqreqi -> cat reads secret
Now, decrypt the following text: ivq tjqqd yenlk ivq lfkq kqreqi",the queen draws the wise secret,text_decryption,monoalphabetic_substitution,synthetic_v2
synthetic_v2_uni_000001,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
59.9 m becomes 104.71
19.3 m becomes 33.74
70.79 m becomes 123.74
54.28 m becomes 94.88
60.8 m becomes 106.28
29.95 m becomes 52.35
Now, convert the following measurement: 50.89 m",88.96,unit_conversion,linear_scale,synthetic_v2
